,pokedex_number,name,generation,status,species,type_number,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,1,Bulbasaur,1,Normal,Seed Pokémon,2,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,2,Ivysaur,1,Normal,Seed Pokémon,2,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,3,Venusaur,1,Normal,Seed Pokémon,2,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,4,Charmander,1,Normal,Lizard Pokémon,1,Fire,Fire,309.0,39.0,52.0,43.0,60.0,50.0,65.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,5,Charmeleon,1,Normal,Flame Pokémon,1,Fire,Fire,405.0,58.0,64.0,58.0,80.0,65.0,80.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,6,Charizard,1,Normal,Flame Pokémon,2,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,Medium Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
9,7,Squirtle,1,Normal,Tiny Turtle Pokémon,1,Water,Water,314.0,44.0,48.0,65.0,50.0,64.0,43.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,8,Wartortle,1,Normal,Turtle Pokémon,1,Water,Water,405.0,59.0,63.0,80.0,65.0,80.0,58.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,Blastoise,1,Normal,Shellfish Pokémon,1,Water,Water,530.0,79.0,83.0,100.0,85.0,105.0,78.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,Caterpie,1,Normal,Worm Pokémon,1,Bug,Bug,195.0,45.0,30.0,35.0,20.0,20.0,45.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,Metapod,1,Normal,Cocoon Pokémon,1,Bug,Bug,205.0,50.0,20.0,55.0,25.0,25.0,30.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,Butterfree,1,Normal,Butterfly Pokémon,2,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,Weedle,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,Kakuna,1,Normal,Cocoon Pokémon,2,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,Beedrill,1,Normal,Poison Bee Pokémon,2,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,16,Pidgey,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,17,Pidgeotto,1,Normal,Bird Pokémon,2,Normal,Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,Pidgeot,1,Normal,Bird Pokémon,2,Normal,Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,Rattata,1,Normal,Mouse Pokémon,1,Normal,Normal,253.0,30.0,56.0,35.0,25.0,35.0,72.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,19,Alolan Rattata,1,Normal,Mouse Pokémon,2,Dark,Normal,253.0,30.0,56.0,35.0,25.0,35.0,72.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,20,Raticate,1,Normal,Mouse Pokémon,1,Normal,Normal,413.0,55.0,81.0,60.0,50.0,70.0,97.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,20,Alolan Raticate,1,Normal,Mouse Pokémon,2,Dark,Normal,413.0,75.0,71.0,70.0,40.0,80.0,77.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,21,Spearow,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,Fearow,1,Normal,Beak Pokémon,2,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,Ekans,1,Normal,Snake Pokémon,1,Poison,Poison,288.0,35.0,60.0,44.0,40.0,54.0,55.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,Arbok,1,Normal,Cobra Pokémon,1,Poison,Poison,448.0,60.0,95.0,69.0,65.0,79.0,80.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,Pikachu,1,Normal,Mouse Pokémon,1,Electric,Electric,320.0,35.0,55.0,40.0,50.0,50.0,90.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
33,25,Partner Pikachu,1,Normal,Mouse Pokémon,1,Electric,Electric,430.0,45.0,80.0,50.0,75.0,60.0,120.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,26,Raichu,1,Normal,Mouse Pokémon,1,Electric,Electric,485.0,60.0,90.0,55.0,90.0,80.0,110.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,26,Alolan Raichu,1,Normal,Mouse Pokémon,2,Electric,Psychic,485.0,60.0,85.0,50.0,95.0,85.0,110.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,Sandshrew,1,Normal,Mouse Pokémon,1,Ground,Ground,300.0,50.0,75.0,85.0,20.0,30.0,40.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,27,Alolan Sandshrew,1,Normal,Mouse Pokémon,2,Ice,Steel,300.0,50.0,75.0,90.0,10.0,35.0,40.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,28,Sandslash,1,Normal,Mouse Pokémon,1,Ground,Ground,450.0,75.0,100.0,110.0,45.0,55.0,65.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,28,Alolan Sandslash,1,Normal,Mouse Pokémon,2,Ice,Steel,450.0,75.0,100.0,120.0,25.0,65.0,65.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,29,Nidoran♀,1,Normal,Poison Pin Pokémon,1,Poison,Poison,275.0,55.0,47.0,52.0,40.0,40.0,41.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,30,Nidorina,1,Normal,Poison Pin Pokémon,1,Poison,Poison,365.0,70.0,62.0,67.0,55.0,55.0,56.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,Nidoqueen,1,Normal,Drill Pokémon,2,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,Nidoran♂,1,Normal,Poison Pin Pokémon,1,Poison,Poison,273.0,46.0,57.0,40.0,40.0,40.0,50.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,Nidorino,1,Normal,Poison Pin Pokémon,1,Poison,Poison,365.0,61.0,72.0,57.0,55.0,55.0,65.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,Nidoking,1,Normal,Drill Pokémon,2,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,Clefairy,1,Normal,Fairy Pokémon,1,Fairy,Fairy,323.0,70.0,45.0,48.0,60.0,65.0,35.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,Clefable,1,Normal,Fairy Pokémon,1,Fairy,Fairy,483.0,95.0,70.0,73.0,95.0,90.0,60.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,Vulpix,1,Normal,Fox Pokémon,1,Fire,Fire,299.0,38.0,41.0,40.0,50.0,65.0,65.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,37,Alolan Vulpix,1,Normal,Fox Pokémon,1,Ice,Ice,299.0,38.0,41.0,40.0,50.0,65.0,65.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,Ninetales,1,Normal,Fox Pokémon,1,Fire,Fire,505.0,73.0,76.0,75.0,81.0,100.0,100.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,38,Alolan Ninetales,1,Normal,Fox Pokémon,2,Ice,Fairy,505.0,73.0,67.0,75.0,81.0,100.0,109.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,1,Normal,Bat Pokémon,2,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,1,Normal,Bat Pokémon,2,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,1,Normal,Weed Pokémon,2,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,1,Normal,Weed Pokémon,2,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,1,Normal,Flower Pokémon,2,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,1,Normal,Mushroom Pokémon,2,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,1,Normal,Mushroom Pokémon,2,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,1,Normal,Insect Pokémon,2,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,Diglett,1,Normal,Mole Pokémon,1,Ground,Ground,265.0,10.0,55.0,25.0,35.0,45.0,95.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,50,Alolan Diglett,1,Normal,Mole Pokémon,2,Ground,Steel,265.0,10.0,55.0,30.0,35.0,45.0,90.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,Ground,425.0,35.0,100.0,50.0,50.0,70.0,120.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,51,Alolan Dugtrio,1,Normal,Mole Pokémon,2,Ground,Steel,425.0,35.0,100.0,60.0,50.0,70.0,110.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,Normal,290.0,40.0,45.0,35.0,40.0,40.0,90.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
68,52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,1,Dark,Dark,290.0,40.0,35.0,35.0,50.0,40.0,90.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
69,52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,1,Steel,Steel,290.0,50.0,65.0,55.0,40.0,40.0,40.0,Medium Fast,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
70,53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,Normal,440.0,65.0,70.0,60.0,65.0,65.0,115.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,53,Alolan Persian,1,Normal,Classy Cat Pokémon,1,Dark,Dark,440.0,65.0,60.0,60.0,75.0,65.0,115.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
72,54,Psyduck,1,Normal,Duck Pokémon,1,Water,Water,320.0,50.0,52.0,48.0,65.0,50.0,55.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
73,55,Golduck,1,Normal,Duck Pokémon,1,Water,Water,500.0,80.0,82.0,78.0,95.0,80.0,85.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
74,56,Mankey,1,Normal,Pig Monkey Pokémon,1,Fighting,Fighting,305.0,40.0,80.0,35.0,35.0,45.0,70.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
75,57,Primeape,1,Normal,Pig Monkey Pokémon,1,Fighting,Fighting,455.0,65.0,105.0,60.0,60.0,70.0,95.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
76,58,Growlithe,1,Normal,Puppy Pokémon,1,Fire,Fire,350.0,55.0,70.0,45.0,70.0,50.0,60.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
